date,dew_point_2m_mean,temperature_2m_mean,precipitation_sum,wind_speed_10m_mean,surface_pressure_mean,relative_humidity_2m_mean,pm25,station,wind_dir_sin,wind_dir_cos,month_sin,month_cos
2021-01-01,12.8,22.1,0.0,9.5,1014.3,56,20.0,05T,0.754709580222772,0.6560590289905073,0.49999999999999994,0.8660254037844387
2021-01-02,14.9,22.1,0.0,6.5,1013.5,64,25.0,05T,0.17364817766693033,0.984807753012208,0.49999999999999994,0.8660254037844387
2021-01-03,16.2,23.5,0.0,7.8,1012.1,65,37.0,05T,0.29237170472273677,0.9563047559630354,0.49999999999999994,0.8660254037844387
2021-01-04,17.8,25.0,0.0,7.6,1011.8,65,31.0,05T,0.40673664307580015,0.9135454576426009,0.49999999999999994,0.8660254037844387
2021-01-05,19.3,25.5,0.0,5.9,1011.8,69,31.0,05T,0.35836794954530027,0.9335804264972017,0.49999999999999994,0.8660254037844387
2021-01-06,20.1,26.8,0.0,7.5,1010.1,69,32.0,05T,0.8191520442889918,0.573576436351046,0.49999999999999994,0.8660254037844387
2021-01-07,19.4,26.7,0.0,7.6,1009.3,66,26.0,05T,0.8480480961564261,0.5299192642332049,0.49999999999999994,0.8660254037844387
2021-01-08,18.6,26.7,0.0,14.6,1009.6,62,21.0,05T,0.9563047559630354,0.29237170472273677,0.49999999999999994,0.8660254037844387
2021-01-09,14.7,23.7,0.0,12.6,1011.6,58,19.0,05T,0.9396926207859083,0.3420201433256688,0.49999999999999994,0.8660254037844387
2021-01-10,14.8,23.6,0.0,9.2,1011.6,59,27.0,05T,0.8829475928589269,0.46947156278589086,0.49999999999999994,0.8660254037844387
2021-01-11,14.1,23.8,0.0,12.2,1013.0,56,27.0,05T,0.898794046299167,0.43837114678907746,0.49999999999999994,0.8660254037844387
2021-01-12,9.9,20.7,0.0,13.5,1014.9,50,26.0,05T,0.766044443118978,0.6427876096865394,0.49999999999999994,0.8660254037844387
2021-01-13,11.6,20.1,0.0,5.4,1013.9,59,48.0,05T,-0.1564344650402311,0.9876883405951377,0.49999999999999994,0.8660254037844387
2021-01-14,13.8,21.8,0.0,5.8,1012.0,62,71.0,05T,-0.5877852522924734,0.8090169943749473,0.49999999999999994,0.8660254037844387
2021-01-15,16.6,23.4,0.0,6.7,1009.8,69,83.0,05T,-0.4226182617407,0.9063077870366497,0.49999999999999994,0.8660254037844387
2021-01-16,19.9,24.5,0.0,7.4,1009.8,78,66.0,05T,-0.32556815445715676,-0.9455185755993167,0.49999999999999994,0.8660254037844387
2021-01-17,18.6,26.1,0.1,10.5,1011.9,68,44.0,05T,0.8829475928589269,0.46947156278589086,0.49999999999999994,0.8660254037844387
2021-01-18,13.1,23.9,0.0,17.0,1013.7,52,29.0,05T,0.898794046299167,0.43837114678907746,0.49999999999999994,0.8660254037844387
2021-01-19,12.1,22.2,0.0,9.6,1012.9,54,45.0,05T,0.8290375725550417,0.5591929034707468,0.49999999999999994,0.8660254037844387
2021-01-20,14.2,22.6,0.0,6.6,1012.1,62,59.0,05T,0.32556815445715664,0.9455185755993168,0.49999999999999994,0.8660254037844387
2021-01-21,14.7,23.4,0.0,6.7,1010.9,61,67.0,05T,-0.7193398003386517,0.6946583704589966,0.49999999999999994,0.8660254037844387
2021-01-22,16.4,24.3,0.0,7.8,1010.0,64,88.0,05T,-0.9816271834476641,0.19080899537654425,0.49999999999999994,0.8660254037844387
2021-01-23,18.2,25.6,0.0,7.4,1009.8,66,63.0,05T,-0.7313537016191701,-0.6819983600624989,0.49999999999999994,0.8660254037844387
2021-01-24,20.6,26.2,0.0,8.1,1010.6,73,30.0,05T,-0.17364817766693047,-0.984807753012208,0.49999999999999994,0.8660254037844387
2021-01-25,22.7,26.6,0.5,6.8,1010.4,80,18.0,05T,-0.4067366430757998,-0.9135454576426011,0.49999999999999994,0.8660254037844387
2021-01-26,22.7,27.5,0.3,6.8,1009.4,78,20.0,05T,-0.17364817766693047,-0.984807753012208,0.49999999999999994,0.8660254037844387
2021-01-27,23.7,27.7,1.2,6.8,1009.8,81,29.0,05T,-0.0348994967025009,-0.9993908270190958,0.49999999999999994,0.8660254037844387
2021-01-28,22.8,28.1,0.3,6.3,1011.0,76,31.0,05T,0.5150380749100544,-0.8571673007021122,0.49999999999999994,0.8660254037844387
2021-01-29,17.3,27.4,0.0,12.2,1011.9,55,36.0,05T,0.992546151641322,0.12186934340514749,0.49999999999999994,0.8660254037844387
2021-01-30,16.6,26.9,0.0,9.4,1012.2,54,42.0,05T,0.984807753012208,0.17364817766693041,0.49999999999999994,0.8660254037844387
2021-01-31,16.5,27.0,0.0,8.5,1012.5,54,41.0,05T,0.9702957262759965,0.2419218955996679,0.49999999999999994,0.8660254037844387
2021-02-01,18.1,26.8,0.0,6.5,1012.3,62,64.0,05T,0.13917310096006544,0.9902680687415704,0.8660254037844386,0.5000000000000001
2021-02-02,18.9,27.4,0.0,5.6,1012.1,63,47.0,05T,0.7071067811865476,0.7071067811865476,0.8660254037844386,0.5000000000000001
2021-02-03,20.3,27.5,0.0,9.3,1011.8,70,58.0,05T,0.9876883405951377,-0.15643446504023104,0.8660254037844386,0.5000000000000001
2021-02-04,18.2,27.1,0.0,9.6,1012.6,64,49.0,05T,0.984807753012208,0.17364817766693041,0.8660254037844386,0.5000000000000001
2021-02-05,15.3,26.9,0.0,7.6,1011.9,51,47.0,05T,0.9063077870366499,0.42261826174069944,0.8660254037844386,0.5000000000000001
2021-02-06,17.5,26.9,0.0,6.5,1010.5,59,42.0,05T,0.9396926207859083,0.3420201433256688,0.8660254037844386,0.5000000000000001
2021-02-07,19.9,27.3,0.0,8.3,1010.4,66,52.0,05T,0.39073112848927416,-0.9205048534524402,0.8660254037844386,0.5000000000000001
2021-02-08,23.1,27.6,0.0,9.5,1009.9,78,26.0,05T,-0.19080899537654472,-0.981627183447664,0.8660254037844386,0.5000000000000001
2021-02-09,23.1,26.0,31.0,6.2,1009.8,84,27.0,05T,-0.601815023152048,-0.798635510047293,0.8660254037844386,0.5000000000000001
2021-02-10,20.7,25.6,3.7,7.7,1010.3,76,27.0,05T,0.6946583704589973,0.7193398003386512,0.8660254037844386,0.5000000000000001
2021-02-11,18.6,25.7,0.0,7.4,1010.7,67,29.0,05T,0.766044443118978,0.6427876096865394,0.8660254037844386,0.5000000000000001
2021-02-12,17.4,25.5,0.0,6.6,1011.2,63,37.0,05T,0.9998476951563913,-0.017452406437283477,0.8660254037844386,0.5000000000000001
2021-02-13,20.5,26.3,0.0,7.0,1011.3,74,30.0,05T,0.27563735581699966,-0.9612616959383187,0.8660254037844386,0.5000000000000001
2021-02-14,21.8,27.1,0.1,8.4,1011.5,75,25.0,05T,0.05233595624294381,-0.9986295347545738,0.8660254037844386,0.5000000000000001
2021-02-15,22.1,27.0,0.2,11.2,1010.4,76,22.0,05T,-0.10452846326765305,-0.9945218953682734,0.8660254037844386,0.5000000000000001
2021-02-16,22.5,27.4,0.2,11.7,1009.8,76,25.0,05T,0.01745240643728344,-0.9998476951563913,0.8660254037844386,0.5000000000000001
2021-02-17,23.3,26.7,7.3,8.1,1011.2,82,30.0,05T,0.05233595624294381,-0.9986295347545738,0.8660254037844386,0.5000000000000001
2021-02-18,18.3,26.8,0.0,11.5,1013.6,64,45.0,05T,0.981627183447664,0.19080899537654492,0.8660254037844386,0.5000000000000001
2021-02-19,14.7,26.0,0.0,14.0,1014.5,51,38.0,05T,0.9271838545667874,0.37460659341591196,0.8660254037844386,0.5000000000000001
2021-02-20,15.1,25.6,0.0,10.4,1013.4,53,40.0,05T,0.9335804264972017,0.3583679495453004,0.8660254037844386,0.5000000000000001
2021-02-21,17.0,25.5,0.0,5.4,1012.2,62,52.0,05T,0.9702957262759965,0.2419218955996679,0.8660254037844386,0.5000000000000001
2021-02-22,21.0,26.7,0.0,9.0,1011.0,73,43.0,05T,-0.32556815445715676,-0.9455185755993167,0.8660254037844386,0.5000000000000001
2021-02-23,21.9,26.9,0.0,9.3,1010.0,76,35.0,05T,-0.2419218955996675,-0.9702957262759965,0.8660254037844386,0.5000000000000001
2021-02-24,21.7,27.3,0.0,12.3,1008.9,74,34.0,05T,-0.15643446504023073,-0.9876883405951378,0.8660254037844386,0.5000000000000001
2021-02-25,21.9,28.4,0.0,9.4,1007.3,71,44.0,05T,-0.35836794954530043,-0.9335804264972017,0.8660254037844386,0.5000000000000001
2021-02-26,20.4,28.4,0.0,9.1,1005.9,68,43.0,05T,-0.43837114678907707,-0.8987940462991671,0.8660254037844386,0.5000000000000001
2021-02-27,21.6,27.7,0.0,7.4,1006.2,73,44.0,05T,-0.12186934340514774,-0.992546151641322,0.8660254037844386,0.5000000000000001
2021-02-28,22.2,27.2,0.0,13.5,1008.2,77,39.0,05T,0.0348994967025007,-0.9993908270190958,0.8660254037844386,0.5000000000000001
2021-03-01,22.8,27.9,0.0,11.6,1010.9,75,20.0,05T,0.0348994967025007,-0.9993908270190958,1.0,6.123233995736766e-17
2021-03-02,23.9,28.3,0.9,9.5,1011.1,78,12.0,05T,-0.19080899537654472,-0.981627183447664,1.0,6.123233995736766e-17
2021-03-03,24.1,27.3,12.0,10.4,1011.4,83,10.0,05T,-0.20791169081775907,-0.9781476007338057,1.0,6.123233995736766e-17
2021-03-04,23.8,27.4,1.3,7.4,1011.8,81,15.0,05T,0.258819045102521,-0.9659258262890682,1.0,6.123233995736766e-17
2021-03-05,23.8,28.1,0.2,9.5,1011.4,78,15.0,05T,-0.30901699437494773,-0.9510565162951535,1.0,6.123233995736766e-17
2021-03-06,23.4,28.2,0.0,10.8,1011.7,77,16.0,05T,-0.13917310096006552,-0.9902680687415703,1.0,6.123233995736766e-17
2021-03-07,23.9,28.3,0.0,11.4,1011.0,79,16.0,05T,-0.052335956242943564,-0.9986295347545738,1.0,6.123233995736766e-17
2021-03-08,23.8,28.3,1.7,9.5,1012.0,78,21.0,05T,0.08715574274765864,-0.9961946980917455,1.0,6.123233995736766e-17
2021-03-09,24.0,28.1,9.8,7.3,1011.8,79,17.0,05T,-0.15643446504023073,-0.9876883405951378,1.0,6.123233995736766e-17
2021-03-10,23.9,28.1,2.8,8.4,1011.7,79,23.0,05T,-0.15643446504023073,-0.9876883405951378,1.0,6.123233995736766e-17
2021-03-11,24.0,28.4,0.9,7.5,1011.6,78,27.0,05T,-0.10452846326765305,-0.9945218953682734,1.0,6.123233995736766e-17
2021-03-12,24.3,28.7,0.4,7.0,1011.7,78,23.0,05T,-0.12186934340514774,-0.992546151641322,1.0,6.123233995736766e-17
2021-03-13,24.1,28.4,0.6,9.8,1011.3,78,21.0,05T,-0.0348994967025009,-0.9993908270190958,1.0,6.123233995736766e-17
2021-03-14,23.9,28.4,0.7,9.5,1009.8,78,21.0,05T,-0.052335956242943564,-0.9986295347545738,1.0,6.123233995736766e-17
2021-03-15,23.6,28.9,0.2,12.7,1009.0,74,21.0,05T,-0.08715574274765794,-0.9961946980917455,1.0,6.123233995736766e-17
2021-03-16,23.6,28.6,0.8,12.5,1008.6,75,22.0,05T,-0.08715574274765794,-0.9961946980917455,1.0,6.123233995736766e-17
2021-03-17,23.7,28.9,1.6,13.3,1008.4,75,25.0,05T,-0.10452846326765305,-0.9945218953682734,1.0,6.123233995736766e-17
2021-03-18,24.1,29.4,0.4,11.1,1007.9,75,34.0,05T,-0.10452846326765305,-0.9945218953682734,1.0,6.123233995736766e-17
2021-03-19,23.5,29.6,0.0,13.6,1007.5,71,27.0,05T,-0.15643446504023073,-0.9876883405951378,1.0,6.123233995736766e-17
2021-03-20,23.5,29.5,0.0,14.4,1006.4,72,28.0,05T,-0.06975647374412483,-0.9975640502598243,1.0,6.123233995736766e-17
2021-03-21,24.6,29.8,0.2,12.1,1006.7,75,21.0,05T,-0.0348994967025009,-0.9993908270190958,1.0,6.123233995736766e-17
2021-03-22,24.2,27.8,12.9,8.8,1010.2,82,38.0,05T,0.9961946980917455,-0.08715574274765824,1.0,6.123233995736766e-17
2021-03-23,20.1,28.5,0.0,9.2,1011.1,62,37.0,05T,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17
2021-03-24,20.5,29.1,0.0,7.5,1008.9,61,40.0,05T,0.9702957262759965,0.2419218955996679,1.0,6.123233995736766e-17
2021-03-25,23.6,29.2,0.3,10.5,1008.3,74,34.0,05T,-0.22495105434386498,-0.9743700647852352,1.0,6.123233995736766e-17
2021-03-26,24.4,29.3,0.6,12.5,1008.4,76,16.0,05T,-0.22495105434386498,-0.9743700647852352,1.0,6.123233995736766e-17
2021-03-27,24.0,29.7,0.0,12.6,1007.4,73,12.0,05T,-0.20791169081775907,-0.9781476007338057,1.0,6.123233995736766e-17
2021-03-28,24.1,29.8,0.0,14.6,1007.1,73,15.0,05T,-0.17364817766693047,-0.984807753012208,1.0,6.123233995736766e-17
2021-03-29,24.4,29.9,0.2,14.2,1006.2,74,14.0,05T,-0.12186934340514774,-0.992546151641322,1.0,6.123233995736766e-17
2021-03-30,24.7,30.2,0.0,14.2,1004.9,74,15.0,05T,-0.20791169081775907,-0.9781476007338057,1.0,6.123233995736766e-17
2021-03-31,24.5,30.3,1.1,11.7,1004.1,73,20.0,05T,-0.15643446504023073,-0.9876883405951378,1.0,6.123233995736766e-17
2021-04-01,24.4,30.0,0.0,12.0,1004.6,73,16.0,05T,-0.17364817766693047,-0.984807753012208,0.8660254037844387,-0.4999999999999998
2021-04-02,24.0,30.1,0.0,15.3,1005.5,71,6.0,05T,-0.13917310096006552,-0.9902680687415703,0.8660254037844387,-0.4999999999999998
2021-04-03,25.1,30.1,0.2,12.6,1005.6,76,10.0,05T,0.05233595624294381,-0.9986295347545738,0.8660254037844387,-0.4999999999999998
2021-04-04,24.8,28.6,5.2,9.1,1007.4,80,12.0,05T,0.3420201433256689,-0.9396926207859083,0.8660254037844387,-0.4999999999999998
2021-04-05,24.0,26.8,11.4,5.9,1009.4,85,28.0,05T,0.3583679495453002,-0.9335804264972017,0.8660254037844387,-0.4999999999999998
2021-04-06,24.5,26.7,12.8,5.9,1010.4,88,27.0,05T,-0.45399049973954625,-0.8910065241883681,0.8660254037844387,-0.4999999999999998
2021-04-07,24.5,26.9,6.7,6.9,1010.8,87,27.0,05T,-0.3420201433256686,0.9396926207859084,0.8660254037844387,-0.4999999999999998
2021-04-08,24.4,27.9,2.9,5.4,1009.3,82,32.0,05T,-0.587785252292473,-0.8090169943749475,0.8660254037844387,-0.4999999999999998
2021-04-09,24.5,28.8,0.9,6.8,1008.6,78,18.0,05T,-0.19080899537654472,-0.981627183447664,0.8660254037844387,-0.4999999999999998
2021-04-10,25.0,28.0,10.3,5.9,1010.0,84,26.0,05T,0.5150380749100544,-0.8571673007021122,0.8660254037844387,-0.4999999999999998
2021-04-11,24.8,27.3,9.2,4.5,1011.3,87,23.0,05T,0.39073112848927416,-0.9205048534524402,0.8660254037844387,-0.4999999999999998
2021-04-12,24.8,27.6,7.2,5.3,1011.4,85,21.0,05T,0.05233595624294381,-0.9986295347545738,0.8660254037844387,-0.4999999999999998
2021-04-13,24.6,28.4,7.0,7.6,1010.5,80,16.0,05T,-0.17364817766693047,-0.984807753012208,0.8660254037844387,-0.4999999999999998
2021-04-14,25.0,28.2,5.4,8.8,1010.1,83,11.0,05T,-0.17364817766693047,-0.984807753012208,0.8660254037844387,-0.4999999999999998
