date,dew_point_2m_mean,temperature_2m_mean,precipitation_sum,wind_direction_10m_dominant,wind_speed_10m_mean,surface_pressure_mean,relative_humidity_2m_mean,pm25
2021-01-01,10.5,21.9,0.0,35,16.5,1011.8,49,23.0
2021-01-02,10.9,22.3,0.0,29,13.2,1011.0,49,28.0
2021-01-03,12.9,23.3,0.0,27,11.3,1009.5,53,40.0
2021-01-04,15.2,24.9,0.0,25,12.7,1009.3,56,33.0
2021-01-05,16.9,26.4,0.0,36,9.9,1009.1,57,35.0
2021-01-06,17.9,27.7,0.0,47,9.3,1007.3,57,33.0
2021-01-07,18.3,27.1,0.0,34,7.3,1006.3,60,34.0
2021-01-08,19.1,26.8,0.0,55,9.7,1006.7,64,33.0
2021-01-09,14.2,24.1,0.0,37,10.8,1008.9,54,20.0
2021-01-10,14.3,23.9,0.0,29,9.5,1008.7,56,32.0
2021-01-11,13.8,23.9,0.0,33,12.5,1010.1,55,32.0
2021-01-12,8.2,20.7,0.0,35,17.7,1012.4,45,24.0
2021-01-13,8.8,20.1,0.0,30,10.8,1011.2,49,42.0
2021-01-14,12.9,21.9,0.0,36,8.1,1009.1,59,49.0
2021-01-15,15.0,23.1,0.0,176,6.4,1006.7,63,65.0
2021-01-16,16.2,24.2,0.0,189,6.9,1006.5,64,53.0
2021-01-17,17.2,25.2,0.3,58,7.0,1008.8,63,57.0
2021-01-18,12.9,23.7,0.0,42,12.9,1011.0,51,33.0
2021-01-19,10.1,22.1,0.0,31,11.2,1010.2,48,46.0
2021-01-20,11.8,22.1,0.0,44,6.8,1009.1,55,47.0
2021-01-21,13.3,23.0,0.0,211,6.1,1007.9,58,55.0
2021-01-22,14.1,24.2,0.0,219,6.2,1007.0,57,52.0
2021-01-23,16.0,25.2,0.0,192,7.2,1006.7,59,55.0
2021-01-24,16.7,26.6,0.0,202,8.3,1007.1,57,41.0
2021-01-25,18.1,26.3,0.0,179,6.3,1007.1,64,41.0
2021-01-26,19.3,27.2,0.0,152,6.4,1006.3,64,44.0
2021-01-27,21.1,27.6,1.3,114,5.6,1006.8,69,58.0
2021-01-28,21.1,28.1,0.6,105,5.4,1008.0,68,49.0
2021-01-29,17.9,27.2,0.0,56,8.7,1009.0,58,44.0
2021-01-30,17.8,26.9,0.0,59,6.6,1009.1,59,43.0
2021-01-31,17.2,26.8,0.0,88,6.1,1009.5,58,51.0
2021-02-01,17.3,26.7,0.0,26,6.9,1009.4,59,56.0
2021-02-02,18.5,26.9,0.0,195,5.3,1009.1,63,56.0
2021-02-03,18.4,27.2,0.0,135,7.1,1008.7,61,57.0
2021-02-04,18.1,26.9,0.0,51,7.6,1009.6,61,54.0
2021-02-05,15.2,26.0,0.0,35,7.8,1009.0,53,46.0
2021-02-06,16.2,26.2,0.0,10,5.6,1007.7,56,53.0
2021-02-07,18.6,26.8,0.0,173,6.5,1007.3,64,67.0
2021-02-08,20.9,26.5,2.0,235,5.6,1006.7,73,58.0
2021-02-09,21.4,25.6,2.5,7,7.4,1006.7,79,45.0
2021-02-10,18.5,25.5,0.2,37,9.8,1007.4,68,16.0
2021-02-11,17.1,25.9,0.0,31,6.3,1007.7,60,33.0
2021-02-12,17.5,26.2,0.0,80,5.3,1008.0,61,29.0
2021-02-13,17.3,26.7,0.0,199,6.0,1008.1,59,44.0
2021-02-14,17.2,27.4,0.0,211,7.6,1008.1,57,28.0
2021-02-15,18.2,27.2,0.0,198,7.1,1006.9,63,33.0
2021-02-16,19.9,27.7,0.1,156,6.8,1006.2,65,27.0
2021-02-17,21.9,27.3,4.6,128,7.6,1007.8,74,35.0
2021-02-18,18.1,27.2,1.1,66,10.5,1010.5,63,32.0
2021-02-19,14.3,26.4,0.0,52,13.6,1011.6,48,37.0
2021-02-20,14.4,25.7,0.0,48,10.1,1010.7,51,37.0
2021-02-21,15.0,25.8,0.0,78,5.6,1009.1,54,66.0
2021-02-22,15.7,26.5,0.0,202,6.5,1007.7,55,70.0
2021-02-23,17.9,27.2,0.0,194,7.3,1006.5,60,69.0
2021-02-24,18.7,28.4,0.0,214,8.8,1005.4,61,49.0
2021-02-25,17.8,29.5,0.0,278,14.4,1004.2,53,42.0
2021-02-26,14.3,28.6,0.0,264,13.0,1002.6,46,45.0
2021-02-27,15.3,28.1,0.0,247,12.9,1003.0,52,44.0
2021-02-28,19.1,28.2,0.0,190,10.9,1004.6,62,48.0
2021-03-01,18.0,28.1,0.0,155,6.8,1007.4,60,36.0
2021-03-02,20.8,29.0,0.1,147,7.5,1007.6,64,19.0
2021-03-03,22.2,28.1,3.5,172,7.3,1008.0,72,17.0
2021-03-04,21.7,28.8,0.0,151,7.9,1008.4,69,13.0
2021-03-05,21.0,29.5,0.9,207,5.2,1007.9,64,31.0
2021-03-06,21.2,30.1,0.0,159,4.7,1008.1,63,16.0
2021-03-07,19.8,29.9,0.0,158,7.4,1007.4,60,38.0
2021-03-08,21.0,29.3,0.3,132,6.6,1008.4,65,30.0
2021-03-09,21.9,29.2,0.4,134,5.6,1008.5,68,30.0
2021-03-10,21.3,29.7,0.2,132,5.7,1008.3,64,39.0
2021-03-11,21.4,29.8,0.0,125,6.3,1008.2,64,44.0
2021-03-12,20.7,30.2,0.0,95,6.9,1008.4,60,41.0
2021-03-13,20.9,29.9,0.2,140,7.0,1007.8,61,34.0
2021-03-14,21.3,29.8,0.4,152,5.6,1006.4,64,28.0
2021-03-15,21.0,30.0,0.5,180,5.1,1005.5,61,24.0
2021-03-16,20.9,30.1,0.1,187,6.3,1005.1,61,24.0
2021-03-17,21.3,30.2,0.2,187,5.3,1004.8,62,21.0
2021-03-18,21.4,30.6,0.2,182,5.9,1004.4,61,30.0
2021-03-19,21.7,31.1,0.0,184,6.3,1003.8,61,28.0
2021-03-20,21.8,31.4,0.0,184,7.2,1002.7,59,28.0
2021-03-21,22.3,31.6,0.1,163,6.4,1003.0,60,28.0
2021-03-22,23.9,27.2,19.6,63,6.5,1007.4,82,14.0
2021-03-23,20.1,27.9,0.1,25,9.6,1008.5,64,16.0
2021-03-24,20.6,29.1,0.0,9,6.5,1006.0,62,
2021-03-25,21.6,30.1,0.1,182,9.0,1005.0,63,30.0
2021-03-26,22.5,29.8,0.0,167,6.5,1004.9,68,23.0
2021-03-27,22.7,30.5,0.0,180,7.9,1003.9,66,18.0
2021-03-28,22.4,30.8,0.1,202,6.7,1003.6,64,15.0
2021-03-29,21.4,31.6,0.0,222,8.8,1002.6,59,17.0
2021-03-30,20.1,31.2,0.0,268,12.3,1001.6,54,25.0
2021-03-31,20.7,31.0,0.0,257,11.2,1000.7,57,33.0
2021-04-01,21.8,30.7,0.0,256,11.4,1001.3,62,22.0
2021-04-02,22.5,30.5,0.1,226,8.3,1002.0,65,10.0
2021-04-03,22.3,31.0,0.0,159,8.4,1002.2,63,7.0
2021-04-04,23.5,27.7,22.4,337,8.1,1004.4,79,6.0
2021-04-05,23.2,26.0,6.8,84,7.7,1006.5,85,6.0
2021-04-06,24.1,26.1,11.7,125,4.6,1007.3,89,11.0
2021-04-07,23.9,26.8,4.6,16,7.5,1008.0,85,6.0
2021-04-08,23.5,27.5,3.2,270,6.3,1006.2,80,7.0
2021-04-09,23.6,28.2,0.7,259,8.7,1005.6,77,8.0
2021-04-10,24.2,27.4,10.3,55,5.9,1006.9,84,
2021-04-11,24.0,27.1,5.1,30,4.2,1008.2,84,16.0
2021-04-12,24.2,27.5,3.8,256,4.2,1008.4,83,9.0
2021-04-13,24.0,28.0,7.8,247,4.3,1007.3,80,9.0
2021-04-14,24.0,27.8,7.0,251,5.8,1006.9,81,4.0
2021-04-15,23.3,28.5,0.2,249,6.9,1005.6,75,4.0
2021-04-16,23.8,28.0,8.5,261,9.7,1005.4,78,11.0
2021-04-17,23.7,27.7,1.2,252,7.0,1006.9,80,10.0
2021-04-18,23.5,27.6,7.2,251,7.9,1006.6,80,8.0
2021-04-19,23.5,27.7,1.1,238,6.7,1004.9,80,10.0
2021-04-20,22.6,29.0,0.8,254,7.4,1004.4,71,8.0
2021-04-21,23.0,29.5,0.3,255,8.5,1004.8,70,11.0
2021-04-22,23.0,30.1,1.0,265,11.7,1004.2,67,15.0
2021-04-23,22.4,30.7,0.8,262,14.2,1003.1,63,18.0
2021-04-24,23.2,30.1,6.7,259,10.5,1003.1,69,19.0
2021-04-25,23.3,29.6,0.8,251,11.0,1004.1,70,18.0
2021-04-26,23.1,28.8,10.5,263,9.8,1004.4,73,12.0
2021-04-27,23.5,27.6,18.5,286,7.6,1005.8,79,12.0
2021-04-28,24.2,26.8,2.2,79,5.6,1007.2,86,20.0
2021-04-29,23.9,26.1,13.2,71,5.7,1007.2,88,15.0
2021-04-30,24.1,26.4,15.4,84,4.3,1006.8,88,9.0
2021-05-01,24.1,26.8,1.5,156,4.8,1006.9,86,9.0
2021-05-02,24.7,27.8,5.4,219,4.1,1006.5,84,14.0
2021-05-03,23.8,28.8,0.0,221,4.2,1004.8,77,10.0
2021-05-04,24.2,29.1,5.8,249,4.5,1004.3,77,13.0
2021-05-05,23.7,30.1,0.0,188,4.7,1004.1,72,15.0
2021-05-06,24.0,26.8,12.0,79,6.0,1007.6,85,15.0
2021-05-07,23.1,27.4,1.6,14,5.0,1007.4,79,11.0
2021-05-08,23.3,27.7,10.9,252,5.6,1005.9,78,13.0
2021-05-09,23.6,28.6,0.1,251,5.9,1004.8,76,8.0
2021-05-10,23.2,29.5,2.5,235,7.3,1004.0,71,8.0
2021-05-11,22.9,29.8,0.0,236,8.5,1003.3,69,10.0
2021-05-12,22.2,30.9,0.0,236,8.7,1002.4,63,10.0
2021-05-13,22.8,31.3,0.4,237,8.6,1002.0,62,10.0
2021-05-14,22.5,31.9,0.2,221,9.3,1001.8,60,10.0
2021-05-15,23.1,31.6,9.8,234,7.8,1002.7,63,10.0
2021-05-16,24.8,30.2,12.1,197,5.3,1003.3,74,10.0
2021-05-17,24.5,30.0,2.3,243,5.3,1003.5,75,10.0
2021-05-18,23.9,30.5,0.8,236,7.8,1003.9,70,11.0
2021-05-19,23.8,30.7,3.8,256,11.8,1003.2,68,9.0
2021-05-20,23.5,30.7,3.4,258,12.3,1003.3,67,7.0
2021-05-21,23.5,30.6,2.8,252,12.7,1003.2,68,5.0
2021-05-22,22.3,30.7,0.2,259,16.6,1002.3,63,5.0
2021-05-23,21.8,31.2,0.1,256,17.5,1002.4,60,5.0
2021-05-24,21.6,31.5,0.0,258,15.0,1003.0,58,8.0
2021-05-25,23.3,29.1,4.9,243,9.7,1003.3,72,8.0
2021-05-26,22.6,29.3,0.0,252,11.0,1003.0,68,9.0
2021-05-27,23.0,30.0,21.0,252,9.7,1002.8,69,9.0
2021-05-28,24.8,27.6,17.1,182,5.5,1004.5,86,7.0
2021-05-29,24.3,27.8,6.6,195,6.5,1004.3,83,10.0
