date,dew_point_2m_mean,temperature_2m_mean,precipitation_sum,wind_direction_10m_dominant,wind_speed_10m_mean,surface_pressure_mean,relative_humidity_2m_mean
1/1/2021,4.9,17,0,78,14.3,999.6,46
1/2/2021,5.5,16.6,0,74,9.5,998,49
1/3/2021,8.1,18.8,0,73,8.4,996.4,53
1/4/2021,11.9,20.1,0,53,7.2,996.5,61
1/5/2021,14.2,21.9,0,81,6.1,995.5,64
1/6/2021,14.5,22.7,0,91,8.8,994.4,61
1/7/2021,15,23.3,0,88,10.1,993.6,61
1/8/2021,10.7,20.9,0,86,17.3,995.5,53
1/9/2021,7.5,17.6,0,96,11,997.1,52
1/10/2021,8.8,18.7,0,98,10.1,996.4,53
1/11/2021,4.8,17,0,85,20.1,999.3,46
1/12/2021,0.9,15.6,0,68,15.2,1000.7,39
1/13/2021,5.7,16.6,0,77,5.1,996.5,50
1/14/2021,10.7,19.6,0,88,5.2,994.1,58
1/15/2021,13.6,21,0,84,7,992.2,65
1/16/2021,14.7,22.5,0,78,7.6,992.1,63
1/17/2021,12.6,21.5,0.1,80,18.4,997,58
1/18/2021,6.7,18.8,0,90,14,999,46
1/19/2021,9,18.6,0,108,4.7,996.3,56
1/20/2021,11.6,19.4,0,70,5.1,994.4,63
1/21/2021,13,20.9,0,47,5.6,993,63
1/22/2021,13.6,21.8,0,80,6.4,992.2,62
1/23/2021,14.4,22.5,0,85,7.2,992.2,63
1/24/2021,15.5,23.4,0,76,7.4,992.1,63
1/25/2021,16.4,24.6,0,1,6,992,63
1/26/2021,16.8,24.4,0,86,7.7,992.6,65
1/27/2021,16.4,23.6,0,76,6.5,993.1,66
1/28/2021,16,24.2,0,85,12.3,995.1,63
1/29/2021,12.8,22.5,0,95,11.5,996.5,56
1/30/2021,13.3,22.3,0,92,8.4,996.2,59
1/31/2021,14.8,23.3,0,104,7.9,996.1,60
2/1/2021,16.4,23.7,0,78,6.8,995.5,65
2/2/2021,16.2,24.8,0,102,6.5,995.3,60
2/3/2021,15.2,25,0,102,10,995.6,57
2/4/2021,14.2,24.1,0,96,8.8,996.6,55
2/5/2021,14.6,24.1,0,90,7,995.4,57
2/6/2021,16.1,23.9,0,85,7.3,994.2,63
2/7/2021,15.5,24.2,0,95,5.8,993.5,60
2/8/2021,16.1,24.7,0.8,94,11.5,992.6,61
2/9/2021,17.6,20,19.7,61,9.4,993.4,86
2/10/2021,14.9,19.5,0,67,6.3,993.8,77
2/11/2021,15,20.8,0,93,6.7,993.9,71
2/12/2021,15.5,21.4,0,103,5.8,994.1,71
2/13/2021,15.5,22.3,0,90,6.4,994.2,67
2/14/2021,15.9,23.6,0,86,7.4,993.8,65
2/15/2021,16.4,24.5,0,80,6.6,992,63
2/16/2021,17.1,25.4,0,87,6.7,991.5,63
2/17/2021,16.6,25.4,0,96,13.2,994.8,60
2/18/2021,13.2,23.8,0,91,14.9,998.7,53
2/19/2021,12,23.2,0,83,12.6,999.3,51
2/20/2021,12.6,22.4,0,94,5.6,997.1,56
2/21/2021,14,23.1,0,108,6.5,994.6,59
2/22/2021,16.2,25.2,0,41,5.5,992.4,60
2/23/2021,15.4,26.5,0,116,7.9,991.4,53
2/24/2021,17,26.9,0,108,7,989.6,56
2/25/2021,16.8,28.3,0,237,7.7,987.1,53
2/26/2021,15.8,27.9,0,229,6.3,985.9,51
2/27/2021,16.5,27.4,0,53,7.7,986.7,54
2/28/2021,18,27.8,0,99,10.7,989.3,57
3/1/2021,17.4,27.5,0,57,6.6,991.8,58
3/2/2021,19.2,27.4,1.3,102,10.9,993,61
3/3/2021,18.8,24.8,3.1,99,11.5,994.3,70
3/4/2021,20.9,24.9,9.2,95,7.7,994.1,80
3/5/2021,21.7,26.5,1,166,6.1,992.3,76
3/6/2021,21.2,27.1,0,94,7.5,992.9,72
3/7/2021,21.8,26.9,6.1,95,10,993.1,75
3/8/2021,20.6,25.3,2.6,118,5.8,994.5,77
3/9/2021,20.7,26.2,0,101,4.4,993.8,74
3/10/2021,20.6,26.7,0,81,7.3,993.6,71
3/11/2021,20.5,27.4,0,80,6.5,993.8,68
3/12/2021,18.6,27.2,0,97,7.6,994.4,61
3/13/2021,18.5,27,0,106,7.8,993.9,61
3/14/2021,18.3,27.3,0,117,7.5,991.8,59
3/15/2021,19.6,28.1,0,152,6.2,990.2,61
3/16/2021,21.3,29.1,0.1,170,5.8,989.4,64
3/17/2021,22.2,29.5,0.9,155,5.6,989,67
3/18/2021,22.3,30,0.3,56,6.2,989,65
3/19/2021,22.9,30.4,1.4,72,6.6,988.2,65
3/20/2021,21.9,31.1,0.6,143,5.7,986.8,60
3/21/2021,22.3,29,7.5,92,12.6,989.2,68
3/22/2021,13.4,24.4,0,89,17.6,995.5,51
3/23/2021,13.1,23.9,0,101,8.8,995.7,52
3/24/2021,16.4,26.1,0,119,7.7,992.4,57
3/25/2021,18.6,28,0,108,8.8,990.7,58
3/26/2021,20.7,29.3,0.1,105,7.2,989.7,61
3/27/2021,22,31,0.3,278,5.3,988.3,60
3/28/2021,23.1,29.9,7.8,91,6.4,987.7,68
3/29/2021,22.3,30.9,0.3,275,6,986.5,63
3/30/2021,21.3,30.8,0.3,252,6.1,984.6,59
3/31/2021,21.1,30.6,0,211,6.9,984.1,60
4/1/2021,20.5,31.8,0,241,5.6,984.5,53
4/2/2021,21.8,30.7,1.7,139,7,986.4,60
4/3/2021,23,29.6,6.3,86,8.8,988,69
4/4/2021,23.6,26.6,27.5,40,7.2,990.1,84
4/5/2021,21.8,26.9,0.3,115,7.8,991.8,76
4/6/2021,20.8,27.4,0.4,100,7.7,992.5,69
4/7/2021,21.8,25.7,2.8,274,4.8,992.7,80
4/8/2021,22.6,27.5,0.7,297,6,990.3,77
4/9/2021,21.9,28.4,1.9,83,8.3,990.7,69
4/10/2021,19.9,28.9,0,96,10.3,992.6,59
4/11/2021,20.2,29.8,0,84,8.2,993.1,58
4/12/2021,20.8,30.1,0,56,7.4,992.5,59
4/13/2021,22.5,29.9,0.3,270,6.5,991.2,66
4/14/2021,22.1,30.2,0.6,237,5.6,990.3,64
4/15/2021,22.1,30.3,1.1,276,7.2,989.3,62
4/16/2021,23,29,41.4,80,7.2,989.5,72
4/17/2021,22.5,26.4,11.2,88,9.8,992.2,80
4/18/2021,23.3,25.9,21.7,22,4.5,991.7,86
