date,dew_point_2m_mean,temperature_2m_mean,precipitation_sum,wind_direction_10m_dominant,wind_speed_10m_mean,surface_pressure_mean,relative_humidity_2m_mean,pm25
2021-01-01,12.8,22.1,0.0,49,9.5,1014.3,56,20.0
2021-01-02,14.9,22.1,0.0,10,6.5,1013.5,64,25.0
2021-01-03,16.2,23.5,0.0,17,7.8,1012.1,65,37.0
2021-01-04,17.8,25.0,0.0,24,7.6,1011.8,65,31.0
2021-01-05,19.3,25.5,0.0,21,5.9,1011.8,69,31.0
2021-01-06,20.1,26.8,0.0,55,7.5,1010.1,69,32.0
2021-01-07,19.4,26.7,0.0,58,7.6,1009.3,66,26.0
2021-01-08,18.6,26.7,0.0,73,14.6,1009.6,62,21.0
2021-01-09,14.7,23.7,0.0,70,12.6,1011.6,58,19.0
2021-01-10,14.8,23.6,0.0,62,9.2,1011.6,59,27.0
2021-01-11,14.1,23.8,0.0,64,12.2,1013.0,56,27.0
2021-01-12,9.9,20.7,0.0,50,13.5,1014.9,50,26.0
2021-01-13,11.6,20.1,0.0,351,5.4,1013.9,59,48.0
2021-01-14,13.8,21.8,0.0,324,5.8,1012.0,62,71.0
2021-01-15,16.6,23.4,0.0,335,6.7,1009.8,69,83.0
2021-01-16,19.9,24.5,0.0,199,7.4,1009.8,78,66.0
2021-01-17,18.6,26.1,0.1,62,10.5,1011.9,68,44.0
2021-01-18,13.1,23.9,0.0,64,17.0,1013.7,52,29.0
2021-01-19,12.1,22.2,0.0,56,9.6,1012.9,54,45.0
2021-01-20,14.2,22.6,0.0,19,6.6,1012.1,62,59.0
2021-01-21,14.7,23.4,0.0,314,6.7,1010.9,61,67.0
2021-01-22,16.4,24.3,0.0,281,7.8,1010.0,64,88.0
2021-01-23,18.2,25.6,0.0,227,7.4,1009.8,66,63.0
2021-01-24,20.6,26.2,0.0,190,8.1,1010.6,73,30.0
2021-01-25,22.7,26.6,0.5,204,6.8,1010.4,80,18.0
2021-01-26,22.7,27.5,0.3,190,6.8,1009.4,78,20.0
2021-01-27,23.7,27.7,1.2,182,6.8,1009.8,81,29.0
2021-01-28,22.8,28.1,0.3,149,6.3,1011.0,76,31.0
2021-01-29,17.3,27.4,0.0,83,12.2,1011.9,55,36.0
2021-01-30,16.6,26.9,0.0,80,9.4,1012.2,54,42.0
2021-01-31,16.5,27.0,0.0,76,8.5,1012.5,54,41.0
2021-02-01,18.1,26.8,0.0,8,6.5,1012.3,62,64.0
2021-02-02,18.9,27.4,0.0,45,5.6,1012.1,63,47.0
2021-02-03,20.3,27.5,0.0,99,9.3,1011.8,70,58.0
2021-02-04,18.2,27.1,0.0,80,9.6,1012.6,64,49.0
2021-02-05,15.3,26.9,0.0,65,7.6,1011.9,51,47.0
2021-02-06,17.5,26.9,0.0,70,6.5,1010.5,59,42.0
2021-02-07,19.9,27.3,0.0,157,8.3,1010.4,66,52.0
2021-02-08,23.1,27.6,0.0,191,9.5,1009.9,78,26.0
2021-02-09,23.1,26.0,31.0,217,6.2,1009.8,84,27.0
2021-02-10,20.7,25.6,3.7,44,7.7,1010.3,76,27.0
2021-02-11,18.6,25.7,0.0,50,7.4,1010.7,67,29.0
2021-02-12,17.4,25.5,0.0,91,6.6,1011.2,63,37.0
2021-02-13,20.5,26.3,0.0,164,7.0,1011.3,74,30.0
