,index,date,pm,location,temp,dew_point,humidity,pressure,wind_speed,wind_direction,precipitation
0,0,2023-01-01,79.625,BN,23.7,16.1,65,1015.3,6.7,45,0.0
1,1,2023-01-02,89.5,BN,24.2,17.9,69,1015.6,5.3,40,0.0
2,2,2023-01-03,110.5,BN,25.6,18.9,68,1014.7,6.1,31,0.0
3,3,2023-01-04,97.16666666666667,BN,26.5,19.1,65,1014.1,5.9,45,0.0
4,4,2023-01-05,95.58333333333333,BN,26.1,19.0,66,1013.7,6.3,43,0.0
5,5,2023-01-06,77.83333333333333,BN,26.0,18.1,63,1014.3,9.5,56,0.0
6,6,2023-01-07,59.125,BN,24.2,15.8,60,1014.0,7.3,54,0.0
7,7,2023-01-08,118.29166666666667,BN,25.2,17.2,62,1012.9,5.2,39,0.0
8,8,2023-01-09,155.66666666666666,BN,27.1,18.5,61,1012.6,4.9,19,0.0
9,9,2023-01-10,155.79166666666666,BN,27.2,21.0,69,1011.6,6.2,71,0.0
10,10,2023-01-11,102.625,BN,25.5,22.4,84,1010.9,6.3,78,2.6
11,11,2023-01-12,60.5,BN,26.1,22.5,82,1010.3,4.3,127,0.2
12,12,2023-01-13,100.79166666666667,BN,27.2,23.4,82,1010.8,5.0,184,0.0
13,13,2023-01-14,107.04166666666667,BN,27.3,23.7,82,1009.5,5.9,197,0.0
14,14,2023-01-15,149.45833333333334,BN,27.4,20.9,72,1008.6,4.6,221,0.0
15,15,2023-01-16,175.16666666666666,BN,27.0,21.8,76,1010.6,5.1,199,0.0
16,16,2023-01-17,142.04166666666666,BN,27.2,20.6,70,1011.9,5.7,91,0.0
17,17,2023-01-18,94.875,BN,26.5,18.9,65,1013.7,7.8,69,0.0
18,18,2023-01-19,71.83333333333333,BN,26.0,17.1,61,1013.3,7.5,65,0.0
19,19,2023-01-20,69.83333333333333,BN,25.6,17.2,62,1012.9,6.1,52,0.0
20,20,2023-01-21,91.79166666666667,BN,25.8,17.1,61,1011.9,6.2,36,0.0
21,21,2023-01-22,129.0,BN,25.2,15.4,59,1010.7,5.1,28,0.0
22,22,2023-01-23,168.16666666666666,BN,26.6,16.7,58,1009.7,4.1,16,0.0
23,23,2023-01-24,181.33333333333334,BN,27.1,18.2,60,1010.6,8.8,52,0.0
24,24,2023-01-25,78.25,BN,24.7,15.0,56,1012.6,10.3,59,0.0
25,25,2023-01-26,102.29166666666667,BN,24.7,15.8,60,1011.4,4.6,36,0.0
26,26,2023-01-27,156.66666666666666,BN,25.7,16.8,60,1010.9,6.6,54,0.0
27,27,2023-01-28,99.66666666666667,BN,24.4,15.6,60,1011.8,10.1,64,0.0
28,28,2023-01-29,68.375,BN,23.0,13.0,55,1013.2,10.3,60,0.0
29,29,2023-01-30,76.79166666666667,BN,22.2,13.8,61,1014.2,5.7,41,0.0
30,30,2023-01-31,134.45833333333334,BN,24.6,14.4,55,1011.8,3.1,15,0.0
31,31,2023-02-01,227.58333333333334,BN,25.8,17.4,63,1009.9,3.7,234,0.0
32,32,2023-02-02,366.7916666666667,BN,27.5,20.5,70,1009.6,4.1,194,0.0
33,33,2023-02-03,266.4583333333333,BN,27.8,23.2,77,1010.1,4.2,161,0.9
34,34,2023-02-04,162.70833333333334,BN,27.5,24.3,84,1009.5,4.9,188,2.4
35,35,2023-02-05,171.45833333333334,BN,28.2,23.6,78,1009.6,4.3,187,0.2
36,36,2023-02-06,166.54166666666666,BN,28.0,24.1,81,1009.6,6.1,198,0.2
37,37,2023-02-07,130.875,BN,27.9,23.8,80,1009.9,7.4,188,0.0
38,38,2023-02-08,93.20833333333333,BN,28.2,23.7,79,1009.6,6.9,196,0.0
39,39,2023-02-09,80.16666666666667,BN,28.2,23.9,79,1009.6,8.2,198,0.2
40,40,2023-02-10,69.54166666666667,BN,27.9,23.9,80,1010.0,7.5,197,0.7
41,41,2023-02-11,72.29166666666667,BN,28.4,23.0,75,1010.1,8.8,198,0.1
42,42,2023-02-12,78.79166666666667,BN,28.5,23.4,76,1010.4,9.1,194,0.0
43,43,2023-02-13,84.04166666666667,BN,28.5,23.7,77,1010.2,8.8,193,0.0
44,44,2023-02-14,86.91666666666667,BN,28.5,23.9,78,1009.8,6.9,189,0.0
45,45,2023-02-15,96.375,BN,26.1,24.7,92,1011.3,6.7,116,32.4
46,46,2023-02-16,103.29166666666667,BN,25.7,22.3,83,1013.0,6.2,51,4.3
47,47,2023-02-17,95.91666666666667,BN,26.1,20.0,70,1012.9,7.0,41,0.0
48,48,2023-02-18,118.66666666666667,BN,27.1,19.2,64,1012.3,3.9,347,0.0
49,49,2023-02-19,170.66666666666666,BN,28.1,20.6,66,1011.1,4.1,358,0.0
50,50,2023-02-20,168.04166666666666,BN,27.9,20.6,67,1011.2,5.9,66,0.0
51,51,2023-02-21,147.83333333333334,BN,27.5,19.5,65,1012.3,6.1,60,0.0
52,52,2023-02-22,152.20833333333334,BN,27.3,18.9,63,1012.3,6.5,81,0.0
53,53,2023-02-23,166.625,BN,27.3,18.9,63,1011.3,4.9,19,0.0
54,54,2023-02-24,190.04166666666666,BN,28.3,18.4,59,1010.8,6.4,62,0.0
55,55,2023-02-25,131.29166666666666,BN,27.1,16.6,54,1013.9,13.1,73,0.0
56,56,2023-02-26,72.58333333333333,BN,25.6,15.5,55,1016.9,11.2,60,0.0
57,57,2023-02-27,72.04166666666667,BN,25.2,16.3,60,1016.7,7.6,52,0.0
58,58,2023-02-28,109.41666666666667,BN,26.5,17.8,62,1015.3,4.6,17,0.0
