,index,date,pm,location,temp,dew_point,humidity,pressure,wind_speed,wind_direction,precipitation
0,0,2023-01-01,104.875,DN,23.5,16.9,68,1015.4,7.1,1,0.0
1,1,2023-01-02,90.58333333333333,DN,24.0,17.4,69,1015.7,6.4,9,0.0
2,2,2023-01-03,115.95833333333333,DN,25.0,19.1,71,1015.1,5.9,355,0.0
3,3,2023-01-04,83.875,DN,26.7,18.8,63,1014.3,7.3,8,0.0
4,4,2023-01-05,84.125,DN,26.0,19.2,68,1013.9,6.6,13,0.0
5,5,2023-01-06,80.04166666666667,DN,25.6,18.9,68,1014.3,6.6,22,0.0
6,6,2023-01-07,71.125,DN,24.6,16.9,64,1014.0,5.7,11,0.0
7,7,2023-01-08,125.33333333333333,DN,25.4,17.6,64,1012.9,5.3,10,0.0
8,8,2023-01-09,97.08333333333333,DN,26.5,18.8,64,1012.9,5.3,3,0.0
9,9,2023-01-10,94.70833333333333,DN,27.1,20.6,69,1011.5,4.4,40,0.1
10,10,2023-01-11,151.29166666666666,DN,26.0,22.4,81,1010.9,4.8,64,0.7
11,11,2023-01-12,151.83333333333334,DN,26.6,22.3,80,1010.2,4.8,104,0.1
12,12,2023-01-13,131.58333333333334,DN,27.3,23.1,79,1010.7,6.2,155,0.0
13,13,2023-01-14,78.58333333333333,DN,27.8,22.2,74,1009.3,4.7,185,0.0
14,14,2023-01-15,80.25,DN,27.0,19.0,67,1008.7,5.6,295,0.0
15,15,2023-01-16,92.54166666666667,DN,26.2,19.2,68,1010.6,5.8,163,0.0
16,16,2023-01-17,107.16666666666667,DN,26.4,19.5,68,1011.9,4.6,137,0.0
17,17,2023-01-18,154.875,DN,26.6,20.2,72,1013.6,5.8,56,0.0
18,18,2023-01-19,130.125,DN,26.1,18.6,66,1013.4,5.5,21,0.0
19,19,2023-01-20,121.66666666666667,DN,25.3,17.9,66,1013.1,5.9,7,0.0
20,20,2023-01-21,107.875,DN,25.3,17.4,64,1012.0,6.5,4,0.0
21,21,2023-01-22,96.125,DN,24.9,16.7,64,1010.9,5.3,358,0.0
22,22,2023-01-23,99.41666666666667,DN,25.9,16.6,61,1010.0,4.5,351,0.0
23,23,2023-01-24,119.66666666666667,DN,26.1,17.2,60,1010.7,5.9,16,0.0
24,24,2023-01-25,92.75,DN,23.9,16.3,64,1012.8,7.2,358,0.0
25,25,2023-01-26,98.625,DN,24.4,16.5,64,1011.6,4.4,357,0.0
26,26,2023-01-27,109.25,DN,25.6,17.6,64,1011.0,5.4,18,0.0
27,27,2023-01-28,107.41666666666667,DN,24.0,17.0,66,1011.9,6.8,9,0.0
28,28,2023-01-29,107.45833333333333,DN,22.6,14.5,62,1013.4,7.7,11,0.0
29,29,2023-01-30,91.375,DN,21.4,11.7,56,1014.6,7.1,355,0.0
30,30,2023-01-31,109.33333333333333,DN,23.6,13.3,55,1012.0,5.2,351,0.0
31,31,2023-02-01,142.5,DN,25.6,15.9,59,1009.9,4.2,66,0.0
32,32,2023-02-02,167.33333333333334,DN,27.1,18.1,60,1009.6,4.7,108,0.0
33,33,2023-02-03,163.20833333333334,DN,28.2,21.3,68,1009.9,5.8,139,0.1
34,34,2023-02-04,147.58333333333334,DN,27.5,23.4,80,1009.5,6.3,154,5.2
35,35,2023-02-05,119.45833333333333,DN,28.2,22.5,74,1009.5,3.8,152,0.0
