Unnamed: 0,index,date,pm,location,temp,dew_point,humidity,pressure,wind_speed,wind_direction,precipitation
0,0,2023-01-01,104.875,DN,23.5,16.9,68,1015.4,7.1,1,0.0
0,0,2023-01-01,79.625,BN,23.7,16.1,65,1015.3,6.7,45,0.0
0,0,2023-01-01,79.375,KPS,22.9,16.1,68,1015.6,7.2,19,0.0
1,1,2023-01-02,90.58333333333331,DN,24.0,17.4,69,1015.7,6.4,9,0.0
1,1,2023-01-02,89.5,BN,24.2,17.9,69,1015.6,5.3,40,0.0
1,1,2023-01-02,75.20833333333333,KPS,23.6,17.1,69,1015.8,6.3,24,0.0
2,2,2023-01-03,115.95833333333331,DN,25.0,19.1,71,1015.1,5.9,355,0.0
2,2,2023-01-03,110.5,BN,25.6,18.9,68,1014.7,6.1,31,0.0
2,2,2023-01-03,89.16666666666667,KPS,24.9,18.6,68,1015.2,6.5,14,0.0
3,3,2023-01-04,83.875,DN,26.7,18.8,63,1014.3,7.3,8,0.0
3,3,2023-01-04,97.16666666666669,BN,26.5,19.1,65,1014.1,5.9,45,0.0
3,3,2023-01-04,68.75,KPS,26.4,18.5,63,1014.5,7.8,21,0.0
4,4,2023-01-05,84.125,DN,26.0,19.2,68,1013.9,6.6,13,0.0
4,4,2023-01-05,95.58333333333331,BN,26.1,19.0,66,1013.7,6.3,43,0.0
4,4,2023-01-05,67.125,KPS,25.7,18.8,68,1014.0,8.0,25,0.0
5,5,2023-01-06,77.83333333333333,BN,26.0,18.1,63,1014.3,9.5,56,0.0
5,5,2023-01-06,59.79166666666666,KPS,25.4,18.0,65,1014.6,9.4,34,0.0
5,5,2023-01-06,80.04166666666667,DN,25.6,18.9,68,1014.3,6.6,22,0.0
6,6,2023-01-07,57.5,KPS,24.5,16.0,60,1014.2,8.1,35,0.0
6,6,2023-01-07,71.125,DN,24.6,16.9,64,1014.0,5.7,11,0.0
6,6,2023-01-07,59.125,BN,24.2,15.8,60,1014.0,7.3,54,0.0
7,7,2023-01-08,100.375,KPS,25.3,16.9,61,1013.0,6.1,28,0.0
7,7,2023-01-08,125.33333333333331,DN,25.4,17.6,64,1012.9,5.3,10,0.0
7,7,2023-01-08,118.29166666666669,BN,25.2,17.2,62,1012.9,5.2,39,0.0
8,8,2023-01-09,82.25,KPS,26.5,18.3,62,1013.0,6.2,13,0.0
8,8,2023-01-09,97.08333333333331,DN,26.5,18.8,64,1012.9,5.3,3,0.0
8,8,2023-01-09,155.66666666666666,BN,27.1,18.5,61,1012.6,4.9,19,0.0
9,9,2023-01-10,80.91666666666667,KPS,27.2,20.6,68,1011.5,4.8,44,0.0
9,9,2023-01-10,155.79166666666666,BN,27.2,21.0,69,1011.6,6.2,71,0.0
9,9,2023-01-10,94.70833333333331,DN,27.1,20.6,69,1011.5,4.4,40,0.1
10,10,2023-01-11,102.625,BN,25.5,22.4,84,1010.9,6.3,78,2.6
10,10,2023-01-11,124.41666666666669,KPS,25.7,22.4,83,1011.0,4.4,73,1.4
10,10,2023-01-11,151.29166666666666,DN,26.0,22.4,81,1010.9,4.8,64,0.7
11,11,2023-01-12,60.5,BN,26.1,22.5,82,1010.3,4.3,127,0.2
11,11,2023-01-12,130.79166666666666,KPS,26.6,21.7,77,1010.2,3.7,90,0.1
11,11,2023-01-12,151.83333333333334,DN,26.6,22.3,80,1010.2,4.8,104,0.1
12,12,2023-01-13,100.79166666666669,BN,27.2,23.4,82,1010.8,5.0,184,0.0
12,12,2023-01-13,148.16666666666666,KPS,27.5,22.3,76,1010.6,3.8,171,0.0
12,12,2023-01-13,131.58333333333334,DN,27.3,23.1,79,1010.7,6.2,155,0.0
13,13,2023-01-14,107.04166666666669,BN,27.3,23.7,82,1009.5,5.9,197,0.0
13,13,2023-01-14,90.79166666666669,KPS,27.6,20.9,71,1009.3,5.5,228,0.0
13,13,2023-01-14,78.58333333333333,DN,27.8,22.2,74,1009.3,4.7,185,0.0
14,14,2023-01-15,78.91666666666667,KPS,26.3,19.3,69,1008.6,5.0,260,0.0
14,14,2023-01-15,80.25,DN,27.0,19.0,67,1008.7,5.6,295,0.0
14,14,2023-01-15,149.45833333333334,BN,27.4,20.9,72,1008.6,4.6,221,0.0
15,15,2023-01-16,92.54166666666669,DN,26.2,19.2,68,1010.6,5.8,163,0.0
15,15,2023-01-16,175.16666666666666,BN,27.0,21.8,76,1010.6,5.1,199,0.0
15,15,2023-01-16,96.45833333333331,KPS,25.7,18.5,68,1010.5,5.2,186,0.0
16,16,2023-01-17,107.16666666666669,DN,26.4,19.5,68,1011.9,4.6,137,0.0
16,16,2023-01-17,142.04166666666666,BN,27.2,20.6,70,1011.9,5.7,91,0.0
16,16,2023-01-17,133.33333333333334,KPS,26.1,19.8,72,1011.9,3.6,113,0.0
17,17,2023-01-18,154.875,DN,26.6,20.2,72,1013.6,5.8,56,0.0
17,17,2023-01-18,94.875,BN,26.5,18.9,65,1013.7,7.8,69,0.0
17,17,2023-01-18,159.41666666666666,KPS,26.1,19.5,70,1013.7,5.8,57,0.0
18,18,2023-01-19,71.83333333333333,BN,26.0,17.1,61,1013.3,7.5,65,0.0
18,18,2023-01-19,103.58333333333331,KPS,25.1,17.2,64,1013.5,6.2,24,0.0
18,18,2023-01-19,130.125,DN,26.1,18.6,66,1013.4,5.5,21,0.0
19,19,2023-01-20,86.16666666666667,KPS,25.0,17.2,64,1013.2,6.7,22,0.0
19,19,2023-01-20,121.66666666666669,DN,25.3,17.9,66,1013.1,5.9,7,0.0
19,19,2023-01-20,69.83333333333333,BN,25.6,17.2,62,1012.9,6.1,52,0.0
20,20,2023-01-21,82.95833333333333,KPS,24.8,17.1,65,1012.2,6.3,13,0.0
20,20,2023-01-21,107.875,DN,25.3,17.4,64,1012.0,6.5,4,0.0
20,20,2023-01-21,91.79166666666669,BN,25.8,17.1,61,1011.9,6.2,36,0.0
21,21,2023-01-22,87.58333333333333,KPS,24.3,16.0,64,1011.0,5.5,4,0.0
21,21,2023-01-22,96.125,DN,24.9,16.7,64,1010.9,5.3,358,0.0
