date,dew_point_2m_mean,temperature_2m_mean,precipitation_sum,wind_direction_10m_dominant,wind_speed_10m_mean,surface_pressure_mean,relative_humidity_2m_mean
1/1/2021,12.8,22.1,0,49,9.5,1014.3,56
1/2/2021,14.9,22.1,0,10,6.5,1013.5,64
1/3/2021,16.2,23.5,0,17,7.8,1012.1,65
1/4/2021,17.8,25,0,24,7.6,1011.8,65
1/5/2021,19.3,25.5,0,21,5.9,1011.8,69
1/6/2021,20.1,26.8,0,55,7.5,1010.1,69
1/7/2021,19.4,26.7,0,58,7.6,1009.3,66
1/8/2021,18.6,26.7,0,73,14.6,1009.6,62
1/9/2021,14.7,23.7,0,70,12.6,1011.6,58
1/10/2021,14.8,23.6,0,62,9.2,1011.6,59
1/11/2021,14.1,23.8,0,64,12.2,1013,56
1/12/2021,9.9,20.7,0,50,13.5,1014.9,50
1/13/2021,11.6,20.1,0,351,5.4,1013.9,59
1/14/2021,13.8,21.8,0,324,5.8,1012,62
1/15/2021,16.6,23.4,0,335,6.7,1009.8,69
1/16/2021,19.9,24.5,0,199,7.4,1009.8,78
1/17/2021,18.6,26.1,0.1,62,10.5,1011.9,68
1/18/2021,13.1,23.9,0,64,17,1013.7,52
1/19/2021,12.1,22.2,0,56,9.6,1012.9,54
1/20/2021,14.2,22.6,0,19,6.6,1012.1,62
1/21/2021,14.7,23.4,0,314,6.7,1010.9,61
1/22/2021,16.4,24.3,0,281,7.8,1010,64
1/23/2021,18.2,25.6,0,227,7.4,1009.8,66
1/24/2021,20.6,26.2,0,190,8.1,1010.6,73
1/25/2021,22.7,26.6,0.5,204,6.8,1010.4,80
1/26/2021,22.7,27.5,0.3,190,6.8,1009.4,78
1/27/2021,23.7,27.7,1.2,182,6.8,1009.8,81
1/28/2021,22.8,28.1,0.3,149,6.3,1011,76
1/29/2021,17.3,27.4,0,83,12.2,1011.9,55
1/30/2021,16.6,26.9,0,80,9.4,1012.2,54
1/31/2021,16.5,27,0,76,8.5,1012.5,54
2/1/2021,18.1,26.8,0,8,6.5,1012.3,62
2/2/2021,18.9,27.4,0,45,5.6,1012.1,63
2/3/2021,20.3,27.5,0,99,9.3,1011.8,70
2/4/2021,18.2,27.1,0,80,9.6,1012.6,64
2/5/2021,15.3,26.9,0,65,7.6,1011.9,51
2/6/2021,17.5,26.9,0,70,6.5,1010.5,59
2/7/2021,19.9,27.3,0,157,8.3,1010.4,66
2/8/2021,23.1,27.6,0,191,9.5,1009.9,78
2/9/2021,23.1,26,31,217,6.2,1009.8,84
2/10/2021,20.7,25.6,3.7,44,7.7,1010.3,76
2/11/2021,18.6,25.7,0,50,7.4,1010.7,67
2/12/2021,17.4,25.5,0,91,6.6,1011.2,63
2/13/2021,20.5,26.3,0,164,7,1011.3,74
2/14/2021,21.8,27.1,0.1,177,8.4,1011.5,75
2/15/2021,22.1,27,0.2,186,11.2,1010.4,76
2/16/2021,22.5,27.4,0.2,179,11.7,1009.8,76
2/17/2021,23.3,26.7,7.3,177,8.1,1011.2,82
2/18/2021,18.3,26.8,0,79,11.5,1013.6,64
2/19/2021,14.7,26,0,68,14,1014.5,51
2/20/2021,15.1,25.6,0,69,10.4,1013.4,53
2/21/2021,17,25.5,0,76,5.4,1012.2,62
2/22/2021,21,26.7,0,199,9,1011,73
2/23/2021,21.9,26.9,0,194,9.3,1010,76
2/24/2021,21.7,27.3,0,189,12.3,1008.9,74
2/25/2021,21.9,28.4,0,201,9.4,1007.3,71
2/26/2021,20.4,28.4,0,206,9.1,1005.9,68
2/27/2021,21.6,27.7,0,187,7.4,1006.2,73
2/28/2021,22.2,27.2,0,178,13.5,1008.2,77
3/1/2021,22.8,27.9,0,178,11.6,1010.9,75
3/2/2021,23.9,28.3,0.9,191,9.5,1011.1,78
3/3/2021,24.1,27.3,12,192,10.4,1011.4,83
3/4/2021,23.8,27.4,1.3,165,7.4,1011.8,81
3/5/2021,23.8,28.1,0.2,198,9.5,1011.4,78
3/6/2021,23.4,28.2,0,188,10.8,1011.7,77
3/7/2021,23.9,28.3,0,183,11.4,1011,79
3/8/2021,23.8,28.3,1.7,175,9.5,1012,78
3/9/2021,24,28.1,9.8,189,7.3,1011.8,79
3/10/2021,23.9,28.1,2.8,189,8.4,1011.7,79
3/11/2021,24,28.4,0.9,186,7.5,1011.6,78
3/12/2021,24.3,28.7,0.4,187,7,1011.7,78
3/13/2021,24.1,28.4,0.6,182,9.8,1011.3,78
3/14/2021,23.9,28.4,0.7,183,9.5,1009.8,78
3/15/2021,23.6,28.9,0.2,185,12.7,1009,74
3/16/2021,23.6,28.6,0.8,185,12.5,1008.6,75
3/17/2021,23.7,28.9,1.6,186,13.3,1008.4,75
3/18/2021,24.1,29.4,0.4,186,11.1,1007.9,75
3/19/2021,23.5,29.6,0,189,13.6,1007.5,71
3/20/2021,23.5,29.5,0,184,14.4,1006.4,72
3/21/2021,24.6,29.8,0.2,182,12.1,1006.7,75
3/22/2021,24.2,27.8,12.9,95,8.8,1010.2,82
3/23/2021,20.1,28.5,0,60,9.2,1011.1,62
3/24/2021,20.5,29.1,0,76,7.5,1008.9,61
3/25/2021,23.6,29.2,0.3,193,10.5,1008.3,74
3/26/2021,24.4,29.3,0.6,193,12.5,1008.4,76
3/27/2021,24,29.7,0,192,12.6,1007.4,73
3/28/2021,24.1,29.8,0,190,14.6,1007.1,73
3/29/2021,24.4,29.9,0.2,187,14.2,1006.2,74
3/30/2021,24.7,30.2,0,192,14.2,1004.9,74
3/31/2021,24.5,30.3,1.1,189,11.7,1004.1,73
4/1/2021,24.4,30,0,190,12,1004.6,73
4/2/2021,24,30.1,0,188,15.3,1005.5,71
4/3/2021,25.1,30.1,0.2,177,12.6,1005.6,76
4/4/2021,24.8,28.6,5.2,160,9.1,1007.4,80
4/5/2021,24,26.8,11.4,159,5.9,1009.4,85
4/6/2021,24.5,26.7,12.8,207,5.9,1010.4,88
4/7/2021,24.5,26.9,6.7,340,6.9,1010.8,87
4/8/2021,24.4,27.9,2.9,216,5.4,1009.3,82
4/9/2021,24.5,28.8,0.9,191,6.8,1008.6,78
4/10/2021,25,28,10.3,149,5.9,1010,84
4/11/2021,24.8,27.3,9.2,157,4.5,1011.3,87
4/12/2021,24.8,27.6,7.2,177,5.3,1011.4,85
4/13/2021,24.6,28.4,7,190,7.6,1010.5,80
4/14/2021,25,28.2,5.4,190,8.8,1010.1,83
4/15/2021,24.8,28.5,2.1,208,5.6,1008.7,81
4/16/2021,24.9,29.2,1.9,190,9.7,1008.3,78
4/17/2021,24.4,28.3,5.1,178,5.9,1009.9,81
4/18/2021,24.6,28.7,2.1,205,6.7,1009.6,79
4/19/2021,23.8,28.1,12.7,179,6.8,1008.1,79
4/20/2021,24.2,28.5,7.2,167,7.2,1007.7,78
4/21/2021,25.2,29,4.3,193,5.7,1007.9,80
4/22/2021,25.1,29.4,2.2,229,7.3,1007.4,79
4/23/2021,24.7,30,0.5,207,9.1,1006.4,74
4/24/2021,24.6,29.5,3.9,184,8.8,1006.4,76
4/25/2021,24.8,29.4,1.2,174,7.2,1007.3,77
4/26/2021,25.1,28.9,9.8,205,5.3,1007.4,81
4/27/2021,24.7,27.6,11.4,98,4.7,1008.9,85
4/28/2021,24.6,27.2,6.5,93,6.9,1010.2,86
4/29/2021,24.2,26.5,18.6,130,6.2,1010.3,88
4/30/2021,24.5,26.9,9,121,5.4,1009.8,87
5/1/2021,24.7,27.3,2.7,157,5.5,1010.1,86
5/2/2021,24.6,28,9,129,3.7,1009.6,83
5/3/2021,25.2,29,3,230,3,1007.8,81
5/4/2021,25.5,29.3,13.3,204,5.4,1007.3,81
5/5/2021,25.1,29.5,0.1,162,4.6,1007.2,79
