date,temperature_2m_mean,dew_point_2m_mean,relative_humidity_2m_mean,pressure_msl_mean,wind_speed_10m_mean,winddirection_10m_dominant,precipitation_sum
1/1/2023,23.7,16.1,65,1015.3,6.7,45,0
1/2/2023,24.2,17.9,69,1015.6,5.3,40,0
1/3/2023,25.6,18.9,68,1014.7,6.1,31,0
1/4/2023,26.5,19.1,65,1014.1,5.9,45,0
1/5/2023,26.1,19,66,1013.7,6.3,43,0
1/6/2023,26,18.1,63,1014.3,9.5,56,0
1/7/2023,24.2,15.8,60,1014,7.3,54,0
1/8/2023,25.2,17.2,62,1012.9,5.2,39,0
1/9/2023,27.1,18.5,61,1012.6,4.9,19,0
1/10/2023,27.2,21,69,1011.6,6.2,71,0
1/11/2023,25.5,22.4,84,1010.9,6.3,78,2.6
1/12/2023,26.1,22.5,82,1010.3,4.3,127,0.2
1/13/2023,27.2,23.4,82,1010.8,5,184,0
1/14/2023,27.3,23.7,82,1009.5,5.9,197,0
1/15/2023,27.4,20.9,72,1008.6,4.6,221,0
1/16/2023,27,21.8,76,1010.6,5.1,199,0
1/17/2023,27.2,20.6,70,1011.9,5.7,91,0
1/18/2023,26.5,18.9,65,1013.7,7.8,69,0
1/19/2023,26,17.1,61,1013.3,7.5,65,0
1/20/2023,25.6,17.2,62,1012.9,6.1,52,0
1/21/2023,25.8,17.1,61,1011.9,6.2,36,0
1/22/2023,25.2,15.4,59,1010.7,5.1,28,0
1/23/2023,26.6,16.7,58,1009.7,4.1,16,0
1/24/2023,27.1,18.2,60,1010.6,8.8,52,0
1/25/2023,24.7,15,56,1012.6,10.3,59,0
1/26/2023,24.7,15.8,60,1011.4,4.6,36,0
1/27/2023,25.7,16.8,60,1010.9,6.6,54,0
1/28/2023,24.4,15.6,60,1011.8,10.1,64,0
1/29/2023,23,13,55,1013.2,10.3,60,0
1/30/2023,22.2,13.8,61,1014.2,5.7,41,0
1/31/2023,24.6,14.4,55,1011.8,3.1,15,0
2/1/2023,25.8,17.4,63,1009.9,3.7,234,0
2/2/2023,27.5,20.5,70,1009.6,4.1,194,0
2/3/2023,27.8,23.2,77,1010.1,4.2,161,0.9
2/4/2023,27.5,24.3,84,1009.5,4.9,188,2.4
2/5/2023,28.2,23.6,78,1009.6,4.3,187,0.2
2/6/2023,28,24.1,81,1009.6,6.1,198,0.2
2/7/2023,27.9,23.8,80,1009.9,7.4,188,0
2/8/2023,28.2,23.7,79,1009.6,6.9,196,0
2/9/2023,28.2,23.9,79,1009.6,8.2,198,0.2
2/10/2023,27.9,23.9,80,1010,7.5,197,0.7
2/11/2023,28.4,23,75,1010.1,8.8,198,0.1
2/12/2023,28.5,23.4,76,1010.4,9.1,194,0
2/13/2023,28.5,23.7,77,1010.2,8.8,193,0
2/14/2023,28.5,23.9,78,1009.8,6.9,189,0
2/15/2023,26.1,24.7,92,1011.3,6.7,116,32.4
2/16/2023,25.7,22.3,83,1013,6.2,51,4.3
2/17/2023,26.1,20,70,1012.9,7,41,0
2/18/2023,27.1,19.2,64,1012.3,3.9,347,0
2/19/2023,28.1,20.6,66,1011.1,4.1,358,0
2/20/2023,27.9,20.6,67,1011.2,5.9,66,0
2/21/2023,27.5,19.5,65,1012.3,6.1,60,0
2/22/2023,27.3,18.9,63,1012.3,6.5,81,0
2/23/2023,27.3,18.9,63,1011.3,4.9,19,0
2/24/2023,28.3,18.4,59,1010.8,6.4,62,0
2/25/2023,27.1,16.6,54,1013.9,13.1,73,0
2/26/2023,25.6,15.5,55,1016.9,11.2,60,0
2/27/2023,25.2,16.3,60,1016.7,7.6,52,0
2/28/2023,26.5,17.8,62,1015.3,4.6,17,0
3/1/2023,28.3,19.2,61,1013.8,4.4,37,0
3/2/2023,28.9,18.4,57,1013.5,6.8,60,0
3/3/2023,28.1,17.1,54,1015,6,60,0
3/4/2023,27,17,56,1015.8,8,69,0
3/5/2023,27.3,18.2,60,1015.3,6.9,61,0
3/6/2023,27.4,18.5,61,1014.1,5.9,69,0
3/7/2023,27.9,20.6,69,1013.3,5.8,120,0
3/8/2023,28.4,21.6,71,1012.9,5.3,153,0
3/9/2023,28.4,23.4,77,1011.9,5.9,170,0
3/10/2023,28.6,23.9,78,1011.3,5.7,177,0.4
3/11/2023,28.3,24.3,80,1011.4,8.8,194,0
3/12/2023,28.5,24.6,80,1011.3,7.3,189,1.2
3/13/2023,27.3,22.5,77,1011.9,7.6,62,6.6
3/14/2023,27.4,20.3,67,1010.6,5.5,57,0
3/15/2023,27.8,23.5,80,1010.4,6.8,194,0
3/16/2023,27.9,23.5,78,1011.6,7.6,200,0.8
3/17/2023,28.3,23.6,77,1011.2,7.7,192,0
3/18/2023,28.3,23.8,77,1010,7.6,199,0.8
3/19/2023,28.7,24.3,78,1009.3,8.5,195,0.6
3/20/2023,29,24.5,78,1008.8,8,197,0.4
3/21/2023,29.2,24.3,76,1008.5,9.9,194,0
3/22/2023,29.5,24.8,77,1007.2,9.8,197,0
3/23/2023,29.6,24.7,76,1007.3,10.6,195,0.2
3/24/2023,29.8,25.1,77,1007.8,9.1,196,0
3/25/2023,29.7,25.4,79,1008.3,10.4,195,0
3/26/2023,29.7,24.9,77,1007.8,10.1,195,0
3/27/2023,29.8,24.5,75,1008.1,9.7,191,0
3/28/2023,29.4,24.6,76,1009.5,10.8,192,0.1
