date,temperature_2m_mean,dew_point_2m_mean,relative_humidity_2m_mean,pressure_msl_mean,wind_speed_10m_mean,winddirection_10m_dominant,precipitation_sum
1/1/2023,22.9,16.1,68,1015.6,7.2,19,0
1/2/2023,23.6,17.1,69,1015.8,6.3,24,0
1/3/2023,24.9,18.6,68,1015.2,6.5,14,0
1/4/2023,26.4,18.5,63,1014.5,7.8,21,0
1/5/2023,25.7,18.8,68,1014,8,25,0
1/6/2023,25.4,18,65,1014.6,9.4,34,0
1/7/2023,24.5,16,60,1014.2,8.1,35,0
1/8/2023,25.3,16.9,61,1013,6.1,28,0
1/9/2023,26.5,18.3,62,1013,6.2,13,0
1/10/2023,27.2,20.6,68,1011.5,4.8,44,0
1/11/2023,25.7,22.4,83,1011,4.4,73,1.4
1/12/2023,26.6,21.7,77,1010.2,3.7,90,0.1
1/13/2023,27.5,22.3,76,1010.6,3.8,171,0
1/14/2023,27.6,20.9,71,1009.3,5.5,228,0
1/15/2023,26.3,19.3,69,1008.6,5,260,0
1/16/2023,25.7,18.5,68,1010.5,5.2,186,0
1/17/2023,26.1,19.8,72,1011.9,3.6,113,0
1/18/2023,26.1,19.5,70,1013.7,5.8,57,0
1/19/2023,25.1,17.2,64,1013.5,6.2,24,0
1/20/2023,25,17.2,64,1013.2,6.7,22,0
1/21/2023,24.8,17.1,65,1012.2,6.3,13,0
1/22/2023,24.3,16,64,1011,5.5,4,0
1/23/2023,25.3,16.2,61,1010,4.7,356,0
1/24/2023,25.7,16.9,60,1010.8,7.1,31,0
1/25/2023,23.3,14.4,58,1013,8.4,14,0
1/26/2023,23.9,16,64,1011.6,4,12,0
1/27/2023,25.3,17,63,1011.1,6.1,27,0
1/28/2023,23.6,15.4,62,1012.1,8.9,26,0
1/29/2023,21.8,12.7,58,1013.7,9.6,28,0
1/30/2023,21,10.3,53,1014.7,8.7,16,0
1/31/2023,23.2,13.2,56,1012,4.9,16,0
2/1/2023,24.8,15.9,61,1009.9,3.1,243,0
2/2/2023,26.7,18.3,63,1009.7,3.6,35,0
2/3/2023,27.8,21,68,1009.9,4.9,126,0
2/4/2023,27.2,23.1,80,1009.5,5,154,3.8
2/5/2023,28,22.5,75,1009.5,2.8,140,0
2/6/2023,28.4,22.9,75,1009.4,3.9,167,0.2
